,0,1
0,aa_000,0.0
1,ac_000,0.0
2,ad_000,0.0
3,ae_000,0.0
4,af_000,0.0
5,ag_000,0.0
6,ag_001,0.0
7,ag_005,0.0
8,ag_006,0.0
9,ag_007,0.0
10,ag_008,0.0
11,ag_009,0.0
12,ai_000,0.0
13,ak_000,0.0
14,ar_000,0.0
15,as_000,0.0
16,at_000,0.0
17,au_000,0.0
18,av_000,0.0
19,ax_000,0.0
20,ay_000,0.0
21,ay_002,0.0
22,ay_003,0.0
23,ay_005,0.0
24,ay_009,0.0
25,az_003,0.0
26,az_006,0.0
27,az_007,0.0
28,az_008,0.0
29,az_009,0.0
30,ba_000,0.0
31,ba_001,0.0
32,ba_003,0.0
33,ba_005,0.0
34,ba_006,0.0
35,ba_008,0.0
36,bd_000,0.0
37,be_000,0.0
38,bf_000,0.0
39,bl_000,0.0
40,bs_000,0.0
41,bz_000,0.0
42,ca_000,0.0
43,cb_000,0.0
44,cd_000,0.0
45,ce_000,0.0
46,cg_000,0.0
47,ch_000,0.0
48,cl_000,0.0
49,cn_006,0.0
50,cn_007,0.0
51,cn_008,0.0
52,cn_009,0.0
53,cs_000,0.0
54,cs_001,0.0
55,cs_005,0.0
56,cs_006,0.0
57,cs_007,0.0
58,cs_009,0.0
59,cu_000,0.0
60,cv_000,0.0
61,cy_000,0.0
62,cz_000,0.0
63,da_000,0.0
64,db_000,0.0
65,dc_000,0.0
66,de_000,0.0
67,df_000,0.0
68,dg_000,0.0
69,dh_000,0.0
70,di_000,0.0
71,dj_000,0.0
72,dk_000,0.0
73,dl_000,0.0
74,dm_000,0.0
75,dp_000,0.0
76,dr_000,0.0
77,dx_000,0.0
78,dy_000,0.0
79,dz_000,0.0
80,ea_000,0.0
81,ec_00,0.0
82,ee_002,0.0
83,ee_003,0.0
84,ee_008,0.0
85,ee_009,0.0
86,ef_000,0.0
87,eg_000,0.0
88,cp_000,2.7008608628262846e-05
89,cx_000,7.653082482681065e-05
90,bk_000,0.00010655003115321415
91,ay_006,0.00011045233339837353
92,an_000,0.0001157937811384079
93,az_004,0.0001370174603860893
94,ct_000,0.00015118335717568082
95,cs_008,0.00018356290773292213
96,ba_009,0.00018752257194136203
97,cn_004,0.00019379759881718326
98,aj_000,0.0002191445774471919
99,ay_007,0.00022679095031070102
100,ay_001,0.00025346547622248536
101,ba_002,0.000260036117886783
102,cm_000,0.00027441141064351947
103,do_000,0.0002791215915443914
104,ba_007,0.0002927338999692612
105,ee_001,0.00029661280455868636
106,az_000,0.00035729575510987175
107,ba_004,0.00037704824280985116
108,ds_000,0.00039684950479288697
109,du_000,0.000425583422579358
110,ee_005,0.0004332185408881973
111,ay_004,0.000526932436102559
112,dq_000,0.0005821725038645525
113,cn_003,0.0005899338178463161
114,dv_000,0.0006363401287957072
115,ee_007,0.0006614003438514421
116,eb_000,0.0006698424755315439
117,ee_006,0.000673879086654827
118,az_002,0.000797778099812445
119,al_000,0.0008331034801852876
120,bx_000,0.0009657660169453998
121,ee_000,0.0010293816540144429
122,bc_000,0.0012795707664031899
123,dd_000,0.0018849503426906008
124,cn_002,0.0022185753240918987
125,az_005,0.002345096921148835
126,cn_000,0.0027386137315506655
127,cj_000,0.0028842513531136017
128,cs_004,0.0029980209043147226
129,cn_001,0.0032580481569298896
130,ah_000,0.003793520590150509
131,ag_004,0.003981241363083517
132,cs_003,0.004366244782728434
133,ag_003,0.004829456161588553
134,az_001,0.004981519769533742
135,ag_002,0.005934380843844485
136,by_000,0.006599153302476349
137,bj_000,0.006699794542234887
138,aq_000,0.006750249910524054
139,ay_008,0.009103203320274986
140,cs_002,0.01233650947861749
141,bi_000,0.0814382980253768
142,bh_000,0.08947616714046451
143,ap_000,0.17812538903531053
144,dn_000,0.2676790475556113
145,ck_000,0.28095043486437044
